directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,1,1,1,8.707074,10.73658,success,1,Northeast,Southwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,2,1,2,10.73658,12.65973,success,1,Northwest,Southeast,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,3,1,3,12.65973,14.53066,success,1,Northeast,Southwest,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,4,1,4,14.53066,16.47476,success,2,Southwest,Northeast,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,5,1,5,16.47476,18.35498,success,2,Southeast,Northwest,target_movement_T005.csv,distractor_movement_T005.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,6,1,6,18.35498,20.36948,fail,2,Northwest,Southeast,target_movement_T006.csv,distractor_movement_T006.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,7,1,7,20.36948,22.29639,success,1,Southwest,Northeast,target_movement_T007.csv,distractor_movement_T007.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,8,1,8,22.29639,24.1891,success,1,Southeast,Northwest,target_movement_T008.csv,distractor_movement_T008.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,9,1,9,24.1891,26.16774,success,1,Southwest,Northeast,target_movement_T009.csv,distractor_movement_T009.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,10,1,10,26.16774,28.05359,success,2,Southeast,Northwest,target_movement_T010.csv,distractor_movement_T010.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,11,1,11,28.05359,30.07857,success,2,Northwest,Southeast,target_movement_T011.csv,distractor_movement_T011.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,12,1,12,30.07857,32.10563,fail,2,Southeast,Northwest,target_movement_T012.csv,distractor_movement_T012.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,13,1,13,32.10563,34.05178,success,1,Southeast,Northwest,target_movement_T013.csv,distractor_movement_T013.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,14,1,14,34.05178,36.08836,success,1,Northeast,Southwest,target_movement_T014.csv,distractor_movement_T014.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,15,1,15,36.08836,38.06602,success,1,Northeast,Southwest,target_movement_T015.csv,distractor_movement_T015.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,16,1,16,38.06602,39.99239,success,2,Northeast,Southwest,target_movement_T016.csv,distractor_movement_T016.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,17,1,17,39.99239,41.92003,success,2,Northeast,Southwest,target_movement_T017.csv,distractor_movement_T017.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,18,1,18,41.92003,43.81642,success,2,Northwest,Southeast,target_movement_T018.csv,distractor_movement_T018.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,19,1,19,43.81642,45.69898,success,3,Northeast,Southwest,target_movement_T019.csv,distractor_movement_T019.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,20,1,20,45.69898,47.76382,success,3,Southeast,Northwest,target_movement_T020.csv,distractor_movement_T020.csv
my_experiment/STAIRCASE/S001,my_experiment,STAIRCASE,1,21,1,21,47.76382,49.63737,success,3,Southeast,Northwest,target_movement_T021.csv,distractor_movement_T021.csv
